"Date","Value"
2013-08-21,233.413
2013-08-22,233.413
2013-08-23,233.413
2013-08-26,233.413
2013-08-27,233.413
2013-08-28,233.413
2013-08-29,233.413
2013-08-30,233.413
2013-09-03,233.773
2013-09-04,233.773
2013-09-05,233.773
2013-09-06,233.773
2013-09-09,233.773
2013-09-10,233.773
2013-09-11,233.773
2013-09-12,233.773
2013-09-13,233.773
2013-09-16,233.773
2013-09-17,233.773
2013-09-18,233.773
2013-09-19,233.773
2013-09-20,233.773
2013-09-23,233.773
2013-09-24,233.773
2013-09-25,233.773
2013-09-26,233.773
2013-09-27,233.773
2013-09-30,233.773
2013-10-01,233.903
2013-10-02,233.903
2013-10-03,233.903
2013-10-04,233.903
2013-10-07,233.903
2013-10-08,233.903
2013-10-09,233.903
2013-10-10,233.903
2013-10-11,233.903
2013-10-14,233.903
2013-10-15,233.903
2013-10-16,233.903
2013-10-17,233.903
2013-10-18,233.903
2013-10-21,233.903
2013-10-22,233.903
2013-10-23,233.903
2013-10-24,233.903
2013-10-25,233.903
2013-10-28,233.903
2013-10-29,233.903
2013-10-30,233.903
2013-10-31,233.903
2013-11-01,234.038
2013-11-04,234.038
2013-11-05,234.038
2013-11-06,234.038
2013-11-07,234.038
2013-11-08,234.038
2013-11-11,234.038
2013-11-12,234.038
2013-11-13,234.038
2013-11-14,234.038
2013-11-15,234.038
2013-11-18,234.038
2013-11-19,234.038
2013-11-20,234.038
2013-11-21,234.038
2013-11-22,234.038
2013-11-25,234.038
2013-11-26,234.038
2013-11-27,234.038
2013-11-29,234.038
2013-12-02,234.697
2013-12-03,234.697
2013-12-04,234.697
2013-12-05,234.697
2013-12-06,234.697
2013-12-09,234.697
2013-12-10,234.697
2013-12-11,234.697
2013-12-12,234.697
2013-12-13,234.697
2013-12-16,234.697
2013-12-17,234.697
2013-12-18,234.697
2013-12-19,234.697
2013-12-20,234.697
2013-12-23,234.697
2013-12-24,234.697
2013-12-26,234.697
2013-12-27,234.697
2013-12-30,234.697
2013-12-31,234.697
2014-01-02,235.128
2014-01-03,235.128
2014-01-06,235.128
2014-01-07,235.128
2014-01-08,235.128
2014-01-09,235.128
2014-01-10,235.128
2014-01-13,235.128
2014-01-14,235.128
2014-01-15,235.128
2014-01-16,235.128
2014-01-17,235.128
2014-01-21,235.128
2014-01-22,235.128
2014-01-23,235.128
2014-01-24,235.128
2014-01-27,235.128
2014-01-28,235.128
2014-01-29,235.128
2014-01-30,235.128
2014-01-31,235.128
2014-02-03,235.356
2014-02-04,235.356
2014-02-05,235.356
2014-02-06,235.356
2014-02-07,235.356
2014-02-10,235.356
2014-02-11,235.356
